Код,Номер распоряжения,Район,Адрес,Вид ограничения,Производитель работ,Инн подрядчика,Заказчик,Инн заказчика,Дата начала ограничения,Дата окончания ограничения
226293,642 -2015,центральный,"колокольная ул., от ул. марата до владимирского пр.",закрытие одного напр,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,12.06.2015,12.06.2015
226294,643 -2015,центральный,"колокольная ул., от владимирского пр. до ул. марата",закрытие одного напр,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,13.06.2015,14.06.2015
226302,644 -2015,центральный,"г. санкт-петербург, перекресток колокольной ул. и ул. марата",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,14.06.2015,14.06.2015
226305,646 -2015,невский,"заводская ул., от лесной ул. до конца улицы",полное закрытие дв.,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,29.05.2015,08.06.2015
226316,651 -2015,невский,"клочков пер., от ул.коллонтай до наб.р.оккервиль",огранич.движения,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,25.05.2015,08.06.2015
226317,652 -2015,невский,"клочков пер., от ул.коллонтай до пр.пятилеток",полное закрытие дв.,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,30.05.2015,06.06.2015
226318,653 -2015,невский,"клочков пер., от пр.пятилеток до наб.р.оккервиль",полное закрытие дв.,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,31.05.2015,07.06.2015
226334,635 -2015,адмиралтейский,"подольская ул., от клинского пр. до загородного пр.",огранич.движения,ооо 'ск',7810183813,ооо 'петербурггаз',7838017541,25.05.2015,30.06.2015
226371,638 -2015,курортный,"комсомольская ул., от соснового пер. до хвойной ул.",полное закрытие дв.,ооо 'ск 'орион плюс',4703037072,спб гку 'дирекция транспортного строительства',7825342390,14.06.2015,19.06.2015
226415,637 -2015,курортный,"ул.академика комарова, от ул. академиков до 1-го курортного пер.",полное закрытие дв.,ооо 'ск 'орион плюс',4703037072,спб гку 'дирекция транспортного строительства',7825342390,01.06.2015,14.06.2015
226419,661 -2015,центральный,"наб.обводного кан., от боровой ул. до ул.к.заслонова",полное закрытие дв.,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,20.06.2015,21.06.2015
226420,662 -2015,центральный,"наб.обводного кан., ,тоннель под лиговским пр.",полное закрытие дв.,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,20.06.2015,21.06.2015
226421,649 -2015,красносельский,"рабочая ул., от волхонского шоссе до интернациональной ул.",закрытие одного напр,ооо 'навигатор -сбс',7825466405,гуп 'водоканал санкт-петербурга',7830000426,01.06.2015,21.06.2015
226422,650 -2015,красносельский,"красная ул., от интернациональной ул. до волхонского шоссе",закрытие одного напр,ооо 'навигатор -сбс',7825466405,гуп 'водоканал санкт-петербурга',7830000426,01.06.2015,21.06.2015
226425,663 -2015,центральный,"наб.обводного кан., от ул.к.заслонова до боровой ул.",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,27.06.2015,30.06.2015
226437,675 -2015,приморский,"пр.королёва, от ул.шаврова до шуваловского пр.",огранич.движения,ооо 'мариенталь',7810018190,гуп 'водоканал санкт-петербурга',7830000426,01.06.2015,15.06.2015
226461,681 -2015,красносельский,"огородная ул., у д.16 от гвардейской ул. до средней ул.",полное закрытие дв.,ооо 'билдинг',7802108932,спб гку 'управление заказчика',7840014918,12.06.2015,14.06.2015
226462,682 -2015,красносельский,"ул.лермонтова, от ул.мира до загородной ул.",полное закрытие дв.,ооо 'билдинг',7802108932,спб гку 'управление заказчика',7840014918,15.06.2015,17.06.2015
226463,683 -2015,красносельский,"боровая ул., от пр.ленина до тихой ул.",полное закрытие дв.,ооо 'билдинг',7802108932,спб гку 'управление заказчика',7840014918,18.06.2015,20.06.2015
226464,667 -2015,калининский,"бестужевская ул., от лабораторного пр. до конца улицы",полное закрытие дв.,ооо 'строймонтажкомплект',7802167695,гуп 'тэк спб',7830001028,29.05.2015,11.06.2015
226506,669 -2015,невский,"мельничная ул., от пр. обуховской обороны до зеркального пер.",полное закрытие дв.,оао'мостострой №6',7812046562,спб гку 'дирекция транспортного строительства',7825342390,31.05.2015,01.10.2015
226507,670 -2015,невский,"глиняная ул., у пересечения с наб. обводного канала",полное закрытие дв.,оао'мостострой №6',7812046562,спб гку 'дирекция транспортного строительства',7825342390,31.05.2015,01.10.2015
226508,671 -2015,невский,"наб.обводного кан., (четная сторона) от пр. обуховской обороны до д.14 по глиняной ул.",полное закрытие дв.,оао'мостострой №6',7812046562,спб гку 'дирекция транспортного строительства',7825342390,31.05.2015,01.10.2015
226509,672 -2015,центральный,"наб.обводного кан., (нечетная сторона) у пересечения с пр. обуховской обороны",огранич.движения,оао'мостострой №6',7812046562,спб гку 'дирекция транспортного строительства',7825342390,31.05.2015,01.10.2015
226522,673 -2015,центральный,"пр.обуховской обороны, от моста александра невского до шлиссельбургского моста",огранич.движения,оао'мостострой №6',7812046562,спб гку 'дирекция транспортного строительства',7825342390,31.05.2015,01.10.2015
226543,676 -2015,адмиралтейский,"наб.кан.грибоедова, (нечетная сторона) от наб. реки фонтанки до пр. римского-корсакова",огранич.движения,зао'сму-303',7826731737,гуп 'водоканал санкт-петербурга',7830000426,02.06.2015,08.06.2015
226544,677 -2015,адмиралтейский,"пл.репина, от наб. реки фонтанки до пр. римского-корсакова",закрытие одного напр,зао'сму-303',7826731737,гуп 'водоканал санкт-петербурга',7830000426,02.06.2015,30.06.2015
226545,678 -2015,адмиралтейский,"г. санкт-петербург, перекресток пл. репина и пр. римского-корсакова",огранич.движения,зао'сму-303',7826731737,гуп 'водоканал санкт-петербурга',7830000426,02.06.2015,30.06.2015
226546,679 -2015,адмиралтейский,"пр.римского-корсакова, от пл. репина до лоцманской ул.",полное закрытие дв.,зао'сму-303',7826731737,гуп 'водоканал санкт-петербурга',7830000426,16.06.2015,30.06.2015
226557,666 -2015,невский,"г. санкт-петербург, перекресток дальневосточного пр. и ул. коллонтай",огранич.движения,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,30.05.2015,12.06.2015
226560,665 -2015,невский,"г. санкт-петербург, перекресток дальневосточного пр. и ул. дыбенко",огранич.движения,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,06.06.2015,14.06.2015
226602,680 -2015,адмиралтейский,"наб.кан.грибоедова, (нечетная сторона) от пр. римского-корсакова до наб. реки фонтанки",закрытие одного напр,зао'сму-303',7826731737,гуп 'водоканал санкт-петербурга',7830000426,02.06.2015,30.06.2015
226608,668 -2015,петроградский,"ул.рентгена, (нечетная сторона) от ул. льва толстого до ул. чапаева",огранич.движения,зао 'су-11',7805111475,ооо 'строй-импульс',7813343462,30.05.2015,30.03.2016
226622,664 -2015,петроградский,"петровская наб., от петроградской наб. до мичуринской ул.",огранич.движения,ооо 'петроком',7805004441,спб гку 'управление заказчика',7840014918,30.05.2015,14.07.2015
226660,684 -2015,невский,"пр.большевиков, от октябрьской наб. до дальневосточного пр.",закрытие одного напр,ооо 'навигатор -сбс',7825466405,ооо 'петербурггаз',7838017541,01.06.2015,30.06.2015
226709,686 -2015,пушкинский,"ул.ломоносова, от сапёрной ул. до ул.архитектора данини, включая перекрестки с пионерской ул. и кедринской ул.",полное закрытие дв.,зао 'сзтсс',7830000056,гуп 'водоканал санкт-петербурга',7830000426,01.06.2015,10.06.2015
